"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"112","spondias purpurea",24450,TRUE,"Spondias purpurea",24450,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/1300271",1
"113","styrax ferrugineus",1000020874,TRUE,"Styrax ferrugineus",1000020874,TRUE,"iPlant_TNRS","1","Nees & Mart.","http://www.tropicos.org/Name/30800015",1
"114","styrax pohlii",1000020875,TRUE,"Styrax pohlii",1000020875,TRUE,"iPlant_TNRS","1","A. DC.","http://www.tropicos.org/Name/30800040",1
"115","swietenia macrophylla",1354,TRUE,"Swietenia macrophylla",1354,TRUE,"iPlant_TNRS","1","King","http://www.tropicos.org/Name/20400346",1
"116","symplocos lanceolata",1000020876,TRUE,"Symplocos lanceolata",1000020876,TRUE,"iPlant_TNRS","1","A. DC.","http://www.tropicos.org/Name/30900096",1
"117","symplocos mosenii",1000020877,TRUE,"",NA,FALSE,"iPlant_TNRS","1","","",13
"118","syzygium cumini",36558,TRUE,"Syzygium cumini",36558,TRUE,"iPlant_TNRS","1","(L.) Skeels","http://www.tropicos.org/Name/22102113",1
"119","tabebuia rosea",2834,TRUE,"Tabebuia rosea",2834,TRUE,"iPlant_TNRS","1","(Bertol.) DC.","http://www.tropicos.org/Name/3700648",1
"120","tachigali versicolor",50999,TRUE,"Tachigali versicolor",50999,TRUE,"iPlant_TNRS","1","Standl. & L.O. Williams","http://www.tropicos.org/Name/13001906",1
"121","tapirira guianensis",1000014356,TRUE,"Tapirira guianensis",1000014356,TRUE,"iPlant_TNRS","1","Aubl.","http://www.tropicos.org/Name/1300281",1
"122","terminalia amazonia",1000014401,TRUE,"Terminalia amazonia",1000014401,TRUE,"iPlant_TNRS","1","(J.F. Gmel.) Exell","http://www.tropicos.org/Name/8200207",1
"123","trattinnickia aspera",1000014798,TRUE,"Trattinnickia aspera",1000014798,TRUE,"iPlant_TNRS","1","(Standl.) Swart","http://www.tropicos.org/Name/4700241",1
"124","virola sebifera",25996,TRUE,"Virola sebifera",25996,TRUE,"iPlant_TNRS","1","Aubl.","http://www.tropicos.org/Name/21800101",1
"125","vismia billbergiana",1000015206,TRUE,"Vismia billbergiana",1000015206,TRUE,"iPlant_TNRS","1","Beurl.","http://www.tropicos.org/Name/7800776",1
"126","vochysia ferruginea",1000015271,TRUE,"Vochysia ferruginea",1000015271,TRUE,"iPlant_TNRS","1","Mart.","http://www.tropicos.org/Name/34100141",1
"127","vochysia thyrsoidea",1000020878,TRUE,"Vochysia thyrsoidea",1000020878,TRUE,"iPlant_TNRS","1","Pohl","http://www.tropicos.org/Name/50184812",1
"128","xylopia macrantha",1000015453,TRUE,"Xylopia macrantha",1000015453,TRUE,"iPlant_TNRS","1","Triana & Planch.","http://www.tropicos.org/Name/1600511",1
"129","zanthoxylum panamense",51088,TRUE,"Zanthoxylum panamense",51088,TRUE,"iPlant_TNRS","1","P. Wilson","http://www.tropicos.org/Name/28100631",1
"130","zuelania guidonia",51093,TRUE,"Zuelania guidonia",51093,TRUE,"iPlant_TNRS","1","(Sw.) Britton & Millsp.","http://www.tropicos.org/Name/13200529",1
"131","acinodendron pohlianum",NA,FALSE,"Miconia leucocarpa",1000020880,TRUE,"iPlant_TNRS","1","DC.","http://www.tropicos.org/Name/20301140",7
"132","adansonia rubrostipa",NA,FALSE,"Adansonia rubrostipa",NA,FALSE,"iPlant_TNRS","1","Jum. & H. Perrier","http://www.tropicos.org/Name/3900453",11
