"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"241",-1.75,"0.65","6.25","Leaf","Tropical seasonal forest",1000000161,1000026742,50735
"242",-1.27,"0.36","12.76","Leaf","Tropical seasonal forest",1000000109,1000026713,227
"243",-2.33,"0.61","12.66","Leaf","Tropical seasonal forest",1000000109,1000026713,1000002246
"244",-2.68,"0.64","21.41","Leaf","Tropical seasonal forest",1000000109,1000026713,281
"245",-1.77,"0.18","17.6","Leaf","Tropical seasonal forest",1000000109,1000026713,39878
"246",-3.86,"0.55","8.33","Leaf","Tropical seasonal forest",1000000109,1000026713,5807
"247",-2.28,"0.6","15.45","Leaf","Tropical seasonal forest",1000000109,1000026713,1000003887
"248",-2.59,"0.38","7","Leaf","Tropical seasonal forest",1000000109,1000026713,3762
"249",-2.04,"0.74","13.34","Leaf","Tropical seasonal forest",1000000109,1000026713,5630
"250",-1.68,"0.84","11.68","Leaf","Tropical seasonal forest",1000000109,1000026713,27020
"251",-2.59,"0.78","18.12","Leaf","Tropical seasonal forest",1000000109,1000026713,39582
"252",-2.4,"0.68","27.69","Leaf","Tropical seasonal forest",1000000109,1000026713,17254
"253",-2.4,"0.64","14.15","Leaf","Tropical seasonal forest",1000000109,1000026713,25287
"254",-1.81,"0.51","18.73","Leaf","Tropical seasonal forest",1000000109,1000026713,1000020873
"255",-1.88,"0.53","9.13","Leaf","Tropical seasonal forest",1000000109,1000026713,2834
"256",-1,"0.56","NA","Leaf","Tropical rainforest",1000000135,1000026724,14893
"257",-1.56,"0.56","NA","Leaf","Tropical rainforest",1000000135,1000026724,14893
